出典,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
統一基準ガイドライン 基本対策事項4.1.2(3)-1 a),情報システムの運用環境に課せられるべき条件のうち、「人的側面」の条件に該当するものはどれだお？,サーバ装置を設置する場所の特定や、耐震・防火に関する基準。,システムが接続される通信回線の種類やクラウドサービスの利用条件。,対象とするシステムの管理者や業務担当職員等の信頼性に関する条件、組織・体制の条件等。,停電時に稼働する自家発電装置の燃料備蓄量に関する条件。,3,【結論】正解は3だお！「誰が、どういう体制で運用するか」という人の部分の条件だお！ 【根拠】※ https://www.nisc.go.jp/ 運用環境の条件には大きく分けて「物理的」「接続的（ネットワーク）」「人的」の3つがあるお。このうち「人的側面」は、システムの管理者の信頼性（クリアランス等）や、どういう組織体制で運用するか、使用方法のルールといった人に関わる条件だお。これらの条件によって想定される脅威（内部不正のリスクなど）が変わってくるから、すべて調達仕様書や契約書に記載してガッチリ縛る必要があるんだお！ 【注意点・例外】1と4は物理的側面、2は接続的側面に該当するお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(3)-1 c),情報システムの保守を業務委託する際、保守担当者への「なりすまし」が脅威として想定される場合に、システムのセキュリティ要件として考慮すべき対策はどれだお？,保守担当者専用の物理的な専用回線を新設する。,保守担当者に対する「主体認証」が実装されたシステムのセキュリティ要件を考慮する。,保守作業中はすべてのセキュリティ機能を完全に無効化する。,保守担当者には一切のアクセス権限を与えず、作業をシステム管理者が代行する。,2,【結論】正解は2だお！「本当に委託先の〇〇さん？」をシステム的に確認するための認証の仕組みが必要だお！ 【根拠】※ https://www.nisc.go.jp/ 保守担当者は強い権限（特権IDなど）を持って作業することが多いから、もし悪い人が保守担当者になりすまして侵入したら大惨事だお。だから、保守専用のアカウントには強固な「主体認証（多要素認証など）」を実装して、本人であることを確実に確認できるセキュリティ要件をシステム調達の時点で組み込んでおく（考慮する）ことが求められているんだお！ 【注意点・例外】作業中に権限外の情報にアクセスできないようなアクセス制御・権限管理も併せて必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(3)-1 c),インターネット等の外部ネットワークから機関等内の機器等に対して行う「リモート運用やリモート保守」を業務委託する場合のセキュリティ対策に関する考え方で、適切なものはどれだお？,リモート操作は便利であるため、特段のアクセス制御を行わず全職員に許可する。,外部ネットワークからの接続は危険なため、いかなる場合もリモート保守の委託は禁止されている。,インターネット経由であっても、事前の申請があれば暗号化せずに平文で通信してよい。,保守担当者が作業中に権限外の情報にアクセスできないようアクセス制御等を考慮し、所定の遵守事項（リモートアクセス時の対策等）を遵守する必要がある。,4,【結論】正解は4だお！リモート保守はサプライチェーン攻撃の最大の弱点になりやすいから、厳格な制御が必要だお！ 【根拠】※ https://www.nisc.go.jp/ 外部の業者がインターネット越しにサーバーをイジる「リモート保守」は便利だけど、そこを踏み台にされるインシデントが後を絶たないお。だから、必要な権限だけを渡す「アクセス制御」や「権限管理」を徹底するとともに、VPN等の暗号化通信や多要素認証を求める遵守事項（6.4.1等）をしっかり守らせることが絶対条件なんだお！ 【注意点・例外】利便性よりもセキュリティを優先すべき重要なポイントだお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(3)-1 d),情報システムの運用開始後に新たな「脆弱性」が発見された場合の対処について、構築を行った委託先と運用・保守を行う委託先が異なるケースを想定した適切な契約上の考慮事項はどれだお？,構築した委託先にのみ全責任があるため、運用・保守の委託先には一切の対処を求めない。,運用・保守を行う委託先に対しても、運用開始後に発見された脆弱性への対処を求めることを契約又は調達仕様書において考慮する。,運用開始後に発見された脆弱性は放置し、次期システムの調達時にのみ対応する。,新たな脆弱性が発見されるたびに、システム自体を完全に廃棄して新しく作り直す。,2,【結論】正解は2だお！「作った会社」と「動かしてる会社」が違う場合、脆弱性対応のボールが落ちないように契約で縛っておくお！ 【根拠】※ https://www.nisc.go.jp/ ソフトウェアの脆弱性は運用開始後も毎日のように見つかるお。もし「システム構築をしたA社」と「日々の保守をしているB社」が違った場合、「これはウチの責任じゃない！」と押し付け合いになって対応が遅れる（対処が困難になる）おそれがあるお。だから、調達の時点で「運用・保守をやる会社（B社）も、後から見つかった脆弱性の対応（パッチ当て等）をしっかりやってね」と契約に盛り込んでおく（考慮する）ことが超重要なんだお！ 【注意点・例外】責任分界点を明確にしておくことがシステム運用の基本だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.1.2(4)(a),機関等が要機密情報を取り扱うための「業務委託サービス」に該当しない（含まれない）ものはどれだお？,ホスティングサービス,インターネット回線接続サービス,定型約款や規約等への同意のみで利用可能となるサービス,契約をもって外部の者に実施させる個別のクラウド構築サービス,3,【結論】正解は3だお！「利用規約に同意するだけ」の汎用の無料サービス等は、国が求める厳しいセキュリティ要件を個別に飲んでくれないから対象外なんだお！ 【根拠】※ https://www.nisc.go.jp/ 業務委託サービスは、調達仕様書にセキュリティ要件を個別に書いて守らせる必要があるお。でも、誰でも使える定型約款だけのサービスは「ウチだけの特別な扱い」を求めるのが無理（一般的に困難）だから、そもそも要機密情報を扱う業務委託サービスとしては使えない（含まれない）とされているお！ 【注意点・例外】ホスティング等でも個別に要件を合意できるものは対象になるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.1.2(4)(e),業務委託サービスの利用申請を「審査する時期」として、ガイドラインが望ましいとしているのはいつだお？,サービスの運用開始から半年後,当該業務委託の契約前まで,インシデントが最初に発生した直後,サービスの利用契約が終了する直前,2,【結論】正解は2だお！お金を払って契約してから「やっぱりセキュリティ要件満たしてませんでした」じゃ遅すぎるお！ 【根拠】※ https://www.nisc.go.jp/ 外部のサービスを利用する時は、そのサービスが「委託先の選定基準」と「セキュリティ要件」の両方を満たしているかをしっかり審査して承認する必要があるお。当然、契約して後戻りできなくなる前の「当該業務委託の契約前」に審査を完了させることが望ましいとされているんだお！ 【注意点・例外】利用申請の審査においては両者の基準を満たす必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.1.2(4)(f),「業務委託サービス管理者」を指名する際の考え方として、適切なものはどれだお？,同一部局内で既に同一サービスの承認があれば、管理者は必ず1名に統合して業務を兼任させる。,情報システムの調達を伴うものは「情報システムセキュリティ責任者」、利用登録のみは「課室情報セキュリティ責任者」とするなど、申請内容を加味して決定する。,管理者は常に最高情報セキュリティ責任者（CISO）が自ら兼任しなければならない。,管理者の指名には外部の第三者機関の承認を必要とし、内部の職員を指名してはならない。,2,【結論】正解は2だお！同じクラウド（例えばAWSやAzure）を使う場合でも、使う部署や業務の重さによって責任者のレベルを変えるんだお！ 【根拠】※ https://www.nisc.go.jp/ A課はただの「利用登録」だけだから現場の課長（課室情報セキュリティ責任者）が管理者でいいけど、B課は「ガッツリ開発環境として調達」するからシステム担当（情報システムセキュリティ責任者）が管理者になる、という風に、申請内容や情報の格付によって柔軟に管理者を立て分けた方が管理しやすいんだお！ 【注意点・例外】同一部局内で同じサービスを使う場合でも条件が異なるため、それぞれ立てる方が管理が容易になる場合があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(4)-2,業務委託サービスを利用する際、データセンター内のデータが外国の法執行機関の命令により強制的に開示される等の「国内法以外の法令及び規制が適用されるリスク」への対応策はどれだお？,すべてのデータを英語に翻訳して保管することで開示要求を回避する。,準拠法・裁判管轄を指定しても情報の開示が懸念される場合は、機関等の管理する暗号鍵で情報を暗号化するなどの措置を検討する。,外国の法律は日本には一切適用されないため、特に対策は不要である。,データセンターの所在地を偽装して契約する。,2,【結論】正解は2だお！「データは渡してもいいけど、暗号鍵は絶対渡さない（解読させない）」という究極の自衛手段（BYOK等）だお！ 【根拠】※ https://www.nisc.go.jp/ 海外のクラウドサービスを使うと、その国の政府が「テロ捜査のためにデータを出せ！」と令状なしで強制開示を求めてくるリスク（例：米国のCLOUD法など）があるお。契約で「日本の法律に従う」と書いていても強制される場合があるから、自分たち（機関等）しか持っていない暗号鍵でデータを暗号化しておき、万が一データを持っていかれても中身を読ませない工夫が必要なんだお！ 【注意点・例外】データマネジメントで必須の経済安全保障の知識だお。 【出典】統一基準ガイドライン 【確実性: 高】
"統一基準ガイドライン 基本対策事項4.1.2(4)-2, 4.1.2(4)-3",「機関等の情報が取り扱われる場所」の考慮範囲と、セキュリティに係る「国際規格」の参考として正しい組み合わせはどれだお？,[場所] サーバ装置内のデータのみ　[規格] JIS Q 15001,[場所] バックアップデータ、サーバ装置内のデータ等、情報が存在し得る場所全て　[規格] ISO/IEC 27000ファミリー（ISMS）,[場所] 職員の自宅のPCのみ　[規格] PCI DSS,[場所] 外部に公開されたウェブサイトのみ　[規格] ISO 9001,2,【結論】正解は2だお！クラウドを使う時、「本番サーバーは国内だけど、バックアップは海外でした！」という落とし穴を防ぐお！ 【根拠】※ https://www.nisc.go.jp/ 情報が取り扱われる場所は、メインのサーバーだけじゃなく「バックアップデータが存在し得る場所」も全部含めてリスク評価しなきゃいけないお。そして、その外部サービスが安全かを測る国際規格のモノサシとしては、情報セキュリティマネジメントシステムのド定番である「ISO/IEC 27000ファミリー（ISMS）」を参考にすることが推奨されているお！ 【注意点・例外】バックアップ先を見落とすのは監査の典型的な指摘事項だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(4)-4,業務委託先の信頼性を評価する際、第三者による「監査報告書や認証等」を利用する場合の留意点はどれだお？,監査報告書があれば中身は確認せず、無条件で安全とみなしてよい。,監査や認証等によって保証される対象範囲が委託先の全部とは限らないため、機関等が利用するサービスが対象範囲に含まれているか確認する。,監査報告書は外部に公開してはならないため、口頭でのみ結果を確認する。,第三者の認証は費用がかかるため、委託先の自己申告のみを優先して採用する。,2,【結論】正解は2だお！「ISMS取得してます！」と言っても、実は「本社の一部門だけ」みたいなケースがよくあるから、対象範囲（スコープ）の確認が絶対不可欠だお！ 【根拠】※ https://www.nisc.go.jp/ 業者の「認証取ってますアピール」を鵜呑みにしちゃダメだお。監査や認証の対象範囲（スコープ）が、自分たちが使おうとしているクラウドサービスやデータセンターにちゃんと適用されているかを確認する必要があるお。また、監査項目に抜けがないか、監査人の意見に「除外事項（不備）」と書かれていないかも隅々まで読むのがシステム監査技術者の仕事だお！ 【注意点・例外】監査項目の網羅性にも留意する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(4)-4,業務委託先の信頼性評価において、監査報告書や認証を利用する際、機関等自身において別途評価することが求められるリスクはどれだお？,サーバーの物理的な清掃状況。,従業員の毎日の出退勤時刻。,監査や認証等には含まれていないことが考えられる、業務委託先の「経営の安定性」や「サプライチェーン・リスク」。,委託先のオフィスの内装デザインの品質。,3,【結論】正解は3だお！セキュリティ認証は「ITの守り」の証明であって、「会社が倒産しないか」や「下請けに怪しい国が入っていないか」までは保証してくれないお！ 【根拠】※ https://www.nisc.go.jp/ SOC2やISMSといった立派なレポートがあっても、それはあくまでシステムのセキュリティ対策が対象だお。でも、そのクラウド事業者が明日倒産してシステムが止まったら元も子もないし、安いからと危ない国に再委託（サプライチェーン・リスク）していたら大問題だお。だから、経営の安定性などは機関等（自組織）の目線でしっかり別途評価しなければならないんだお！ 【注意点・例外】総合的・客観的な評価には多角的な視点が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.1.2(4)-4,業務委託先等のセキュリティに係る内部統制の保証報告書であり、評価の参考となる「SOC（System and Organization Controls）報告書」のうち、米国公認会計士協会が開発したTrustサービス基準に基づくものはどれだお？,SOC1 と SOC4,SOC2 と SOC3,ISAE3402 と SSAE18,ISO 27017 と ISO 27018,2,【結論】正解は2だお！クラウド時代の超重要キーワード、「SOC2（ソックツー）」と「SOC3」だお！ 【根拠】※ https://www.nisc.go.jp/ クラウドサービスや外部委託先のセキュリティ内部統制がちゃんと回っているかを、独立した監査人が評価して出すレポートが「SOC報告書」だお。その中で、セキュリティ、可用性、機密保持などの「Trustサービス基準」に基づいて評価されるのが【SOC2】と、そのサマリー版である【SOC3】だお！（SOC1は財務報告に係る内部統制が対象だお）。AWSやGoogle Cloud等を使う時の信頼性評価に実務でめちゃくちゃ使われるお！ 【注意点・例外】SOC2は詳細な情報が含まれるため、NDAを結んで受領することが多いお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(1)(a)(ア),「クラウドサービス利用判断基準」に含めるべき検討事項として、ガイドラインが例示しているものはどれだお？,クラウドサービス提供者のオフィス内装の美観基準。,クラウドサービスを利用して行うことが可能な業務や利用不可とする業務、情報の保存を許可（又は禁止）する国・地域など。,全職員に一律で支給するスマートフォンの機種選定基準。,自組織のオンプレミスサーバーを物理的に破棄するための手順。,2,【結論】正解は2だお！「そもそもクラウドに出していい仕事か？」「海外のサーバーにデータを置いてもいいか？」を最初に決めるんだお！ 【根拠】※ https://www.nisc.go.jp/ クラウドは便利だけど、機密性の高いデータをうっかり海外サーバーに置いちゃうと、その国の法律で覗き見されるリスクがあるお。だから、利用を判断する基準として「接続方法（テレワーク先から直接繋いでいいか）」「利用可否の業務」「データ保存を許可する国・地域」「ISMAP等の許容範囲」などをしっかり定めておくことが求められているんだお！ 【注意点・例外】委託判断基準と同等の基準として整備する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(1)(a)(ア),情報の管理をクラウドサービス提供者に委ねることで生じる「クラウドサービス特有のリスク」として、適切な説明はどれだお？,運用詳細が公開されないため利用者にブラックボックスとなる部分があり、他の利用者の設定不備が基盤全体に影響を与える（リソース共有）等のリスクがある。,クラウドはすべて国内法のみが適用されるため、国外の法制度に伴うリスクは完全に存在しない。,クラウドサービスは完全に独立した専用基盤で提供されるため、他の利用者の影響を一切受けない。,責任分界点が自動的に明確化されるため、サービスレベルの合意（SLA）を結ぶ必要がなくなる。,1,【結論】正解は1だお！「中身が見えない（ブラックボックス）」ことと「みんなで相乗りしている（リソース共有）」ことがクラウドの最大の弱点だお！ 【根拠】※ https://www.nisc.go.jp/ クラウドサービスは裏側の仕組みが見えないから、セキュリティ監査の時に「本当に安全に運用されてるの？」という確認が難しいお。さらに、パブリッククラウドは1つの巨大なサーバーを他の会社（不特定多数）と共有しているから、別の会社のやらかしでシステム全体が重くなったり、最悪の場合はアクセス制御の不備でウチのデータが見えちゃったりするリスクがあるんだお！ 【注意点・例外】責任分界点やSLAの合意がオンプレミスに比べて難しくなる点も考慮が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(1)(a)(エ),クラウドサービスの「管理者」を指名する際、ガイドラインが想定している申請内容と管理者の組み合わせとして正しいものはどれだお？,情報システムの調達を伴う場合も、登録のみの場合も、すべて外部のコンサルタントを指名する。,情報システムとして調達されるクラウドは「情報システムセキュリティ責任者」、利用登録のみのサービスは「課室情報セキュリティ責任者等」を指名する。,クラウドの種類に関わらず、必ず申請した一般職員自身を全責任を負う管理者として指名する。,管理者の指名制度は廃止し、システムが自動で管理を行う。,2,【結論】正解は2だお！「ガッツリ開発するクラウド」と「アカウント作るだけのSaaS」で、管理の重み（責任者）を変えるんだお！ 【根拠】※ https://www.nisc.go.jp/ クラウドと一口に言っても、AWSやAzureのようにシステム基盤としてガッツリ調達・構築するもの（IaaS/PaaS等）と、ZoomやSlackのようにアカウント登録だけで使えるもの（SaaS）があるお。前者は当然ITのプロである「情報システムセキュリティ責任者」が管理すべきだし、後者は現場の課長クラス（課室情報セキュリティ責任者や利用申請者自身）で管理すればいいという、実態に即した柔軟な切り分けが想定されているお！ 【注意点・例外】承認する際に「クラウドサービス管理者」を必ず指名することが求められるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.2.1(1)-2,ガイドラインにおいて、クラウドサービスを選定する際の「原則」とされている考え方はどれだお？,価格が最も安い海外の無名サービスから優先的に選定する。,「ISMAP等クラウドサービスリスト（ISMAPまたはISMAP-LIU）」に登録されたクラウドサービスから選定する。,セキュリティを考慮し、クラウドサービス自体を利用せずすべてオンプレミス回帰する。,職員が個人的に使い慣れているフリーのクラウドサービスを無条件で選定する。,2,【結論】正解は2だお！政府の「お墨付きリスト（ISMAP）」から選ぶのが、行政機関や独立行政法人の絶対的なスタンダードだお！ 【根拠】※ https://www.nisc.go.jp/ 「ISMAP（政府情報システムのためのセキュリティ評価制度）」は、国が求める厳しいセキュリティ基準をクリアしたクラウドサービスだけが載っているホワイトリストだお！だから、自組織でゼロから安全性を確認する手間を省くために、まずはこの「ISMAP等クラウドサービスリスト」から選ぶ（原則利用の考え方）ことが選定基準として強く求められているんだお！ 【注意点・例外】リストの詳細情報（リージョンや管理策の実装状況）も踏まえて選定することが重要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.2.1(1)-2,やむを得ず「ISMAP等クラウドサービスリスト」以外のクラウドサービスを選定する場合に、満たさなければならない条件はどれだお？,利用申請者の個人的な責任において自由に利用を開始してよい。,最高情報セキュリティ責任者（CISO）の責任において、ISMAP制度で求めている要求事項や管理基準を満たしていることを確認する。,セキュリティ要件の確認は行わず、試験的に1年間だけ導入する。,外部のプロバイダに数千万円の保証金を支払って免責を得る。,2,【結論】正解は2だお！リスト外のサービスを使うなら、トップ（CISO）が「ISMAPと同等のセキュリティがある！」と腹をくくって責任を持つんだお！ 【根拠】※ https://www.nisc.go.jp/ 「どうしてもISMAPに載ってないこの最新サービスを使いたい！」という業務上のニーズもあるおね。その場合は絶対にダメというわけではないけれど、CISOという組織の最高責任者が自ら「ISMAPの厳しい基準と同等の管理がされていること」を確認し、責任を負うという非常に重い条件（クラウドサービス選定基準への包含）が課せられているんだお！ 【注意点・例外】基本はあくまで「ISMAP原則利用」だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.2.1(1)-3 b),複数のサービス（機能）を含んだクラウドサービスを利用申請する際の適切な対応はどれだお？,含まれる機能のセキュリティ対策が異なる場合でも、代表的な1つの機能のみを申請すれば全体が許可される。,含まれる個々のサービス（機能）において情報セキュリティの対策が異なる場合は、個々のサービスに分割して申請する必要がある。,複数の機能がある場合は複雑になるため、クラウドサービス自体の利用を諦める。,パッケージ全体を一括で「安全」として自己申告し、審査を省略する。,2,【結論】正解は2だお！「全部入りパック」のクラウドでも、機能によってヤバさが違うならバラバラに切り分けて審査するお！ 【根拠】※ https://www.nisc.go.jp/ 最近のクラウドサービス（例えばMicrosoft 365やGoogle Workspace等）は、「メール機能」「ファイル共有機能」「チャット機能」など色んな機能が合体しているお。でも、メールは安全な設定になっていても、ファイル共有は誰でも見れる設定になっていたりする（セキュリティ対策が異なる）ことがあるお。だから、どんぶり勘定で一括申請するのではなく、機能（サービス）ごとに分割して細かく申請・審査するのが正しいガバナンスだお！ 【注意点・例外】ISMAPとISMAP-LIUの枠組みの違いも申請時に明らかにする必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.2.1(1)-3 b),クラウドサービスの利用申請時に提出が求められる「選定時の確認結果」に含めるべき内容として、ガイドラインが挙げているものはどれだお？,他のクラウドサービスとの価格比較表のみ。,ISMAP等クラウドサービスリストの詳細情報において「対象外」としている管理策があった場合の確認結果や、情報が取り扱われる「国や地域」についての検討結果等。,利用予定者の全職員の顔写真付きリスト。,クラウドサービス提供者の過去10年間の財務諸表。,2,【結論】正解は2だお！ISMAPに載っていても「すべて完璧」とは限らないから、免除されている項目やデータの置き場所の裏取り（検討結果）を提出するんだお！ 【根拠】※ https://www.nisc.go.jp/ ISMAPに登録されているサービスでも、「ウチのサービスはこの管理策は対象外（やってません）です」と宣言して登録されているケースがあるお。だから、それを使って本当に大丈夫か？という確認結果や、サーバーが海外にある場合の法規制リスクの検討結果などを、利用申請の時のエビデンス（選定時の確認結果）としてしっかり提出しなければならないんだお！ 【注意点・例外】リストの詳細情報を読み込むスキルが調達側にも求められるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.2.1(1)-4,職員等が組織に隠れて勝手にクラウドを利用する「シャドーIT」への対策として、ガイドラインが導入の検討を例示している機能・サービスはどれだお？,すべての職員のパソコンの電源を強制的に切るタイマー。,クラウドサービスの利用度の可視化やアクセス制御などの機能を持つ「CASB（Cloud Access Security Broker）」と呼ばれるサービス等。,インターネット回線そのものを物理的に切断するハサミ。,職員の背後に監視員を常駐させるアナログな見回り制度。,2,【結論】正解は2だお！「CASB（キャスビー）」！クラウド時代のデータマネジメント・セキュリティ監査の切り札的ソリューションだお！ 【根拠】※ https://www.nisc.go.jp/ 便利なクラウドサービスは、職員が勝手にアカウントを作って業務データを上げちゃう（シャドーIT）リスクが高いお。これを防ぐには「必ず申請してね」というルール運用だけじゃ限界があるから、組織のネットワークを通る通信を監視して「誰が、どの非公認クラウドに、何のデータをアップロードしているか」を可視化・ブロックする【CASB（Cloud Access Security Broker）】のような技術的な監視ツールの導入検討が非常に有効だとされているんだお！ 【注意点・例外】シャドーITは情報漏えいの最大の温床の一つだお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(2)(b)(イ),クラウドサービスにおいて「情報が保存される国・地域」を指定し、外国政府による強制開示リスクに備えて情報を暗号化する際、ガイドラインがさらに注意を促している点はどれだお？,暗号化に用いる「暗号鍵」自体をクラウドサービス等で管理する場合、その暗号鍵に係る情報が保存される国や地域にも注意が必要である。,暗号化すれば万全であるため、暗号鍵の保存場所はどの国であっても全く問題ない。,外国政府の開示要求には絶対服従すべきであり、暗号化自体を行うべきではない。,暗号鍵は必ず紙に印刷して金庫に保管し、電子データとして保存してはならない。,1,【結論】正解は1だお！データだけ暗号化して日本に置いても、その「鍵」を海外のクラウドに置いたら、外国政府に鍵を奪われて全部丸見えになっちゃうお！ 【根拠】※ https://www.nisc.go.jp/ クラウドのデータセンターが海外にあると、その国の法律（例：米国のCLOUD法など）で「データを見せろ」と強制されるリスクがあるお。だから自分たちで暗号化して自衛するんだけど、もし「暗号鍵の管理サービス（KMS等）」も海外のクラウドを使っていたら、結局そこで鍵を抜かれて中身を読まれちゃうお！だから「鍵の置き場所（国・地域）」にも最新の注意が必要なんだお！ 【注意点・例外】経済安全保障の観点で非常に重要なデータマネジメントの視点だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(2)(b)(イ),クラウドサービスの利用終了時に、保存した情報を確実に抹消する「廃棄の方法」として暗号化消去を用いる場合、選定時に定めるべき要件の例はどれだお？,クラウドサービス提供者が独自に生成した暗号鍵のみを利用させ、利用者は鍵の管理に関与しない。,機関等で用意した暗号化に用いる鍵を利用できることや、やむを得ず提供者が鍵を管理する場合は、保存前に機関等が管理する別の暗号鍵を用いて暗号化するなどの要件を定める。,暗号化消去は時間がかかるため、単なるファイル削除機能のみを提供するサービスを選定する。,暗号鍵はサービス終了後もクラウドサービス提供者の社内サーバーで永久保管させる。,2,【結論】正解は2だお！「自分で作った鍵（BYOK：Bring Your Own Key）」を使えるかどうかが、クラウドを安全に捨てるための絶対条件だお！ 【根拠】※ https://www.nisc.go.jp/ クラウドを解約する時、「データを完全に消しました」という業者の言葉だけじゃ不安だおね。だから「暗号化消去」を使うお。この時、暗号鍵を業者が持っていたら、後からコッソリ復元されちゃうかもしれないお。だから、機関等（自分たち）が用意した鍵を使える（BYOK）サービスを選ぶか、事前に自分たちで暗号化（クライアントサイド暗号化）してからアップロードする要件を定めることが推奨されているんだお！ 【注意点・例外】情報漏えいの多くは「捨てたはずのデータ」から起きるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(2)(b)(ウ),情報システムの一部にクラウドサービスを利用する場合、事前に定めておくべき「サービスレベル（SLA）」の考え方として適切なものはどれだお？,クラウドサービスは絶対に停止しないため、サービス品質に関する事前の取り決めは不要である。,停止時の影響度によっては情報システム全体のサービスレベルを低下させるため、サービス品質やサポートの対応時間等について許容できる範囲を事前に定めておく。,コスト削減のため、サポート窓口が存在しない「自己責任型」のサービスを優先して選定する。,システムのレスポンス速度のみを規定し、障害復旧時間（RTO）等は一切定めない。,2,【結論】正解は2だお！「クラウドが落ちたせいで、ウチのメインシステムが全滅しました！」を防ぐためのサービスレベル合意（SLA）だお！ 【根拠】※ https://www.nisc.go.jp/ 例えば、システムの「認証部分」だけ外部のクラウドに頼っている場合、そのクラウドが1時間止まったら、ウチのシステム自体も1時間誰もログインできなくなる（全体の影響）お！だから、クラウドを選ぶ時は「年間どれくらい止まっても許せるか（稼働率）」「障害が起きた時、何時間でサポートが対応してくれるか」という許容範囲（SLA）を事前にガッチリ決めておかないと、インシデント時に大パニックになるんだお！ 【注意点・例外】利用するサービスごとにサービス品質保証が定められているため、自組織の要件とマッチするか確認が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項4.2.1(2)(c),クラウドサービスを選定する際、原則として「ISMAP等クラウドサービスリスト」から選定することに加え、ガイドラインが対応を求めている調達時のルールはどれだお？,海外のサービスであれば、いかなる場合も無条件でリストから除外する。,関係省庁申合せに基づき、サプライチェーン・リスクに対応する必要があると判断されるものについては、必要な措置を講ずる必要がある。,ISMAPリストに掲載されていれば、価格交渉は一切行わず言い値で契約する。,クラウドサービスの導入は、必ず情報システム部門を通さずに各部署で独自に調達する。,2,【結論】正解は2だお！ISMAPのお墨付きがあっても、裏に怪しい下請け（サプライチェーン）が入り込んでないか油断しちゃダメだお！ 【根拠】※ https://www.nisc.go.jp/ 政府機関がシステムを調達する時の鉄則として、サイバー攻撃を仕掛けてくる国の企業が入り込んでバックドアを仕掛けないようにする「サプライチェーン・リスク対応（関係省庁申合せ）」があるお。ISMAPに登録されているクラウドサービスを選ぶのは大前提だけど、さらにこの調達方針に基づいて、経済安全保障上のリスクがないか（必要な措置）をしっかり確認することが求められているんだお！ 【注意点・例外】やむを得ずISMAP以外を選ぶ場合は、最高情報セキュリティ責任者（CISO）の責任で確認するお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項4.2.1(2)-1,クラウドサービスで「機密性3情報」を取り扱う場合に、ISMAP管理基準に関して「追加で」セキュリティ要件に含めるべき対策はどれだお？,ISMAPの基準は完璧であるため、いかなる情報であっても追加の要件は一切不要である。,ISMAP管理基準が想定する情報の格付を踏まえ、末尾に「B」が付された詳細管理策に加え、「Bが付されていない詳細管理策」を複数要求するなどの追加対策を含める。,クラウドサービス上で機密性3情報を扱うことは絶対に禁止されているため、要件定義自体を行わない。,機密性3情報を扱う場合は、ISMAP管理基準を完全に無視して独自の基準のみで構築する。,2,【結論】正解は2だお！超ヤバいデータ（機密性3）をクラウドに上げるなら、ISMAPの「基本セット（B付き）」だけじゃ足りないから、「オプション（Bなし）」もマシマシで要求するんだお！ 【根拠】※ https://www.nisc.go.jp/ これ、システム監査でも超マニアックだけど超重要なポイントだお！ISMAPの管理基準には、基本となる「末尾にBが付された詳細管理策」と、より高度な「Bが付されていない詳細管理策」があるお。機密性2情報までなら基本の「B付き」を全部満たせばOKだけど、最高機密である「機密性3」をクラウドに上げるなら、より厳しい「Bなし」の対策も複数追加して要件に盛り込まないと、防御力が足りないとされているんだお！ 【注意点・例外】自組織の対策基準から求められる内容もすべて反映させる必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
